place_id,name,primary_type,address,latitude,longitude,rating,user_rating_count,distance_to_center_m,review1_rating,review1_text,review1_author,review1_publish_time,review2_rating,review2_text,review2_author,review2_publish_time,review3_rating,review3_text,review3_author,review3_publish_time,review4_rating,review4_text,review4_author,review4_publish_time,review5_rating,review5_text,review5_author,review5_publish_time
ChIJ1d0exkYayUwRDhxPxd74WrQ,Hôtel Le Germain Montréal,hotel,"2050 Rue Mansfield, Montréal, QC H3A 1Y9, Canada",45.5024884,-73.5744095,4.7,837.0,302.6,5.0,"It's a beautiful hotel, inside and out. The colourful exterior was a pleasant surprise. Inside, it is elegant, but still comfortable. Dinner and breakfast at the restaurant were very memorable, and worth repeating soon. The scallops and the dessert were next level awesome! Amazing luxury bedding that I have now put on my Christmas list! I felt taken care of and special staying here. I love the little touches like the honey and the chocolates. Cool wallpaper in the bathroom as well.",Nadine Robinson,2025-11-17T00:53:45.317855612Z,5.0,"Great location — but what really sets this place apart is the atmosphere. It manages to blend cozy comfort with a luxury feel, which is surprisingly rare. You get that warm, intimate vibe, but with high-end details that still make it feel special and upscale.

The hotel is extremely clean. Not just “fine,” but genuinely spotless and well cared for. Rooms, linens, bathrooms, hallways — everything felt fresh, tidy, and thoughtfully maintained. Huge plus if you notice these things like we do.

Check-in was fast and easy. No long waits, no confusion — efficient and smooth from start to finish. Staff clearly know what they’re doing, and it shows.

Perfect for a couple’s weekend. If you're looking for somewhere stylish, clean, romantic, and stress-free, this is a great pick. We honestly left impressed. Would definitely come back!",Jonathan Laforest,2025-11-26T21:29:11.246908188Z,5.0,"Had an incredible stay at the Le Germain.The restaurant is fabulous, the staff was so accommodating and helpful and kind. The bed was extremely comfortable as well. And the location was great, walkable to restaurants and shopping. Would definitely recommend!",Jas Sahota,2026-01-23T20:55:15.087806562Z,5.0,"Absolutely beautiful hotel with a true boutique experience. The hotel is incredibly clean, updated and stylish. The staff is professional and offered exceptional service. The classic queen room I stayed in was so comfortable and I felt relaxed the entire stay. The bedding was perfect, and the windows almost completely soundproof. I’m a light sleeper and am easily awakened by noise (especially from cars). I didn’t have that issue at Le Germain. The location is PERFECT. It’s a quick walk to 2 metro stations and the trails of Mont Royal.

Also, random, but the shampoo and soap they provide are absolutely amazing. I have sensitive skin and usually can’t use hotel toiletries, but whatever brand they’re using is super high quality. It also smells sooooo good I wish I had bought some to take home. I’d stay here again and again.",Brian T,2025-10-23T14:29:08.530300902Z,3.0,"Hôtel Le Germain Montréal has always been our default hotel for business trips, and honestly, that’s its saving grace. The location is fantastic—super easy to get to, and you can access everything downtown quickly. The service is always nice, and the staff are generally great.

However, my stay from Oct 20-22 was a real disappointment, and if it was a personal trip, I'd be looking elsewhere, sorry!

The Room Was TINY: I've stayed here before and had normal rooms. This last one was ridiculously small. The entrance doorway was so tight it felt like I was squeezing in and the door will almost hit the bathroom wall.

Major Stench in the Bathroom: This was the worst part. The little room with the toilet smelled absolutely foul. We tried everything—spraying perfume, opening the door—but the stink just overpowered it. I'm pretty sure the exhaust fan was totally broken because the smell never cleared. That’s a huge issue for cleanliness.

Fishy Lobby? Even the main lobby had a weird, almost fishy smell to it. It was pretty off-putting right when you walk in.

I hope management sees this because the hotel's location is perfect for business, but the room quality and the smell issues on this recent visit were a huge letdown. If the hotel wasn't so convenient for work, I wouldn't book it again.",Neil Santos,2025-10-24T21:18:05.102051068Z
ChIJ2UVwTS8byUwRuYoGi65AeZ4,Crusty's Downtown,american_restaurant,"2044 B Rue Metcalfe, Montréal, QC H3A 1X8, Canada",45.5019053,-73.5749989,4.8,220.0,322.4,5.0,"Lucky me, I found this spot close to my hotel during a quick Montreal visit, & was able to enjoy a satisfying Mozzarella Burger before my drive home 😋 I found the interior of the place to be cute & inviting, & enjoyed people watching from my window seat. It was hard to make a selection, as everything sounded tempting! The gentleman behind the counter was very kind & friendly, & I would definitely return if I'm visiting that area of Montreal again ✓",Marianne L,2025-09-11T18:19:15.327421779Z,5.0,"Owner was very helpful and patient. Food was solid. Fresh, well cooked, came out quick. Buffalo sauce on chicken was very good. Burger was cooked well. Wasn’t a frozen patty. Beefy gravy on the poutine. Quality “fast food” meal. Loved the 90s music for atmosphere.",Jacqui Smith,2025-08-17T01:09:23.386089907Z,5.0,Amazing spot with lots of seating and good decor! Burger was juicy and the fries were some of the best I’ve had in a while. They have buzzers so you can wait at a table while they prepare your food . They also have some outlets which I was extremely grateful for since my phone was very low on battery. I saw restrooms available but did not use them myself. Definitely recommend :),Fiona H,2025-09-13T16:37:25.401460620Z,5.0,Super casual counter serve place. We had the Crusty's burger which was delicious! Young woman at the order counter was very helpful and friendly. Recommend.,Kate Kosche,2025-10-10T23:06:04.219624077Z,5.0,Visiting from America for my birthday & stopped here for a quick dinner. Got the Beef bacon burger and it was yummy. Atmosphere is cool and service was good.,T Gat,2025-10-23T01:23:10.731303919Z
ChIJ30Jc-kYayUwRd_iAOhA8dG8,Café Dépôt,coffee_shop,"2001 Av. McGill College, Montréal, QC H3A 3E8, Canada",45.50362,-73.574015,4.7,14.0,265.6,5.0,Lovely coffee and people working there!!!,Minty C,2025-12-08T15:50:36.763842243Z,5.0,They are so sweet and the bubble tea is soo good omg love themmm,Angie Beaulieu Lavoie,2025-01-24T14:28:04.869658Z,5.0,The staff there is really nice and helpful! They make the best iced mocha. Will definitely come back here!,Micaela Diaz,2022-11-29T17:52:58.481792Z,5.0,"The food is delicious, and the service is excellent. The boss is very hospitable and welcoming",Zhang,2024-04-05T20:09:11.825298Z,1.0,Expensive improperly made matcha latte: clumps of matcha remained at the bottom of the cup,Iris L,2019-11-25T20:03:30.739334Z
ChIJ47OYdRQbyUwR5bLgo2gfNVw,Café Noya - First Udon Café in Montreal,restaurant,"2053 Rue Peel, Montréal, QC H3A 1T6, Canada",45.5014586,-73.5755732,4.6,484.0,345.5,5.0,"Love , love , love , hole in the wall restaurants because its always welcoming and amazing food. The beef udon was delicious with the poached egg. Also, the spicy mayo tuna onigiri was so yummy. I love their mango soda too. It was so refreshing. I'm definitely coming back to try the rest of the menu.",Cristine Guiomar,2025-12-11T14:04:35.231558035Z,5.0,"I LOVE Café Noya. The food here is so satisfying: hearty, tasty and yet not too fatty. Perfect balance as Japanese food always achieves.

The chicken katsu onigiri is seriously addicting (I could eat A LOT of those). You also can't go wrong with the creamy miso udon. Honestly, everything they have tastes fantastic.",Eddy Depoinvil,2026-01-14T14:48:32.523068349Z,4.0,"A nice spot for lunch. I really enjoyed the broth of the beef udon—it’s rich in flavor and very comforting. The onigiri was another highlight, freshly made to order with soft, fluffy rice. Portions are on the smaller side for big eaters, and the wait for onigiri can be a little slow, but overall it’s a pleasant place for a satisfying meal.

I don’t recommend the beef rice, though—the meat portions weren’t generous, and the accompanying salad came without any dressing, which made it feel a bit lacking.",Di L,2025-10-01T01:38:17.736710442Z,4.0,"Visited a few times for their matcha drinks. Above all, their service is quite nice. I was usually served by the same barista who was really nice and patient. I got their salted vanilla matcha once and it was decadent and smooth. The matcha flavour came through as the cream wasn’t too overpowering. The following visit I got a dirty chai. Pretty standard, the foam was nice and thick. Last time I ordered their tiramisu matcha. It’s more of a cream cheese top matcha than a tiramisu as the other elements of the dessert weren’t there. I still liked it but it was different from what I expected.",Zahra Hassan Doualeh,2025-11-12T14:14:53.791188136Z,4.0,"We saw the reviews for Café Noya and had pinned it as one of our stops on our trip to Montréal. We ended up coming here late, about an hour before closing.

The space is small and clean, the cashier was pleasant. I really wanted to try the Udon beef, 🍜 and we ordered the mango soda with mango puree and the passionfruit.🥤

I read that when they first opened reviews talked about small portion sizes. I think they've made some adjustments with the Udon, the bowls are a little bigger.😊👍🏾

The Udon Beef was delicious! 😋 We will definitely come back with more time to try other options on the menu.",Tj X,2025-08-15T23:47:39.818133770Z
ChIJ4Rl_L0EayUwREWrbitMz5wg,Universel Déjeuners et Grillades,breakfast_restaurant,"2055 Rue Peel, Montréal, QC H3A 1V4, Canada",45.5014889,-73.575625,4.3,3269.0,340.8,5.0,"Had a wonderful brunch! The salmon Benedict was excellent, and the portion sizes were just right. We also received perfect service from Ms. Janis, who made the experience even better. The place has lovely decorations, creating a warm and inviting atmosphere. Definitely recommend!",Mohammad Taebi,2025-11-23T15:56:55.542673123Z,3.0,"The food was quite disappointing overall. The French fries had a very strong smell of oil, similar to old or burnt oil, and the taste was unpleasant. The fruits seemed stale and not fresh. While the staff were polite and well-behaved, the atmosphere was not calm or comfortable enough for enjoying breakfast. Unfortunately, the overall experience did not meet expectations",Pitter Macby,2026-01-12T15:17:15.081614688Z,5.0,"Perfectly served breakfast. Had a large latte which was super creamy. Ordered one egg and bacon. For my surprise this came with fruit, bread and potatoes. So it was more than enough! Service is super polite and fast!",Jocelyn Velarde,2026-01-18T13:33:51.518227961Z,5.0,Great place to meet up after working downtown. 5 a 7 every weekday night and a great selection of food. Great for groups we were six. Good for vegans too.,Donna Gibbons,2025-12-26T15:21:15.971040083Z,3.0,The food was tasty and the price for it okay. The server noticed that I doesn't speak French The first time.  He came back to bring me the bill and started again in French. He seemed a bit upset that I didn't understood him. I paid and then he was even more upset about the tip. Only 5 dollars!? It felt like a bit forced to tip him more so I had given him around 4 US dollars and then he smiled a bit.  Location is good,Lars Brünisholz,2025-09-11T12:07:44.675293117Z
ChIJ4ZrEi-obyUwRM4yVD_rEzO8,Couche-Tard,convenience_store,"1001 Rue Sherbrooke O Local 160, Montréal, QC H3A 1G5, Canada",45.5028007,-73.5763509,3.0,41.0,184.4,5.0,"Delicious dessert. This is a convenient store frequented by McGill students. I saw a sign out there with picture of delicious Danish. Good price too. I was to buy a couple for $3 each. The guy told us we can get 6 for.$10.  We bought 6. We didn’t regret it as they are so fresh and delicious.
5 stars.",Vicki L,2024-04-01T22:33:49.106926Z,3.0,"clean and usually have a great variety of a lot of stuff, but do not pay cash here. you can tell that the cashiers don't want to take the cash register and every time i've paid cash, they've given me the wrong change. definitely more of a card establishment!",adriana,2025-11-27T14:55:24.507480032Z,5.0,Great product selection even compared to other Couche-Tard locations.,Fatcatter,2025-08-17T14:42:39.403003306Z,5.0,"Love the coffee machine! You can customize the amount of ice / cream you want. Plus, it’s really helpful when you’re not in the mood of talking to anyone before your first cup of coffee.",Izzy R,2021-09-09T03:57:08.123264Z,5.0,"Fantastic location across OMNI hotel for (late night) snacks. Employees very friendly and the store features an excellent selection of sandwich wraps, croissants, and beverages.
Several times the automatic computer register would ring up items incorrectly priced....for better and for worse. Love the Brisk Strawberry Iced tea.",Gregory Damien Mech,2024-09-10T06:10:25.801822Z
ChIJ4b6LrnobyUwRRX-elQ4PrZI,Pigeon Café & Bar,restaurant,"2000 McGill College Ave suite RDC-7, Montreal, QC H3A 3H3, Canada",45.5026725,-73.5735644,4.2,1360.0,342.5,3.0,"Firstly, if I could give half points this would be my rating : 3.5 overall.
The environment was nice, props to the nice decor! I was there on a weekday, not too busy but a few tables were taken. The waiter was overall nice. I purposely spoke French during my whole meal but he took the effort to speak French to me. I have to give him A for effort! The food was average, but presentation was nice! For those who are big eaters, you might not be full. I wasn't that big eater so it was fine portion wise. The meat was a bit salty but I could cope with it. The latte was well executed, strong enough for my taste. For the price, portions could be more generous, but I guess people go for the vibe.",Vincent Lo,2025-12-06T22:34:11.044189905Z,1.0,"I rarely give really low ratings but unfortunately other than the decor, everything else was subpar. The staff was nice but nothing that would make up for the flavourless food. Maybe we ordered items that were just not good since the place was full and it did go viral. I forced myself to eat half of my shoey bagel. The bagel was not toasted well, egg was overcooked and rubbery and the taste and texture was just not that great. They forgot the caramel in my iced latte so I did ask for it and they did accommodate which I appreciate. But again, this is bare minimum. I didn’t like the taste of the coffee either and my almost $6 fingerling potatoes were undercooked. My friend’s turkey croissant was ok but her potato salad was also undercooked. I wouldn’t come back nor recommend it to anyone since I don’t trust places that mess up simple dishes.",Stefie,2025-10-26T20:44:37.442674461Z,4.0,"My friends and I have done birthday parties here. Atmosphere is great, cozy, and not too loud and Pigeon (McGill) always accommodate for our big group parties (through email). The service is good, staff is nice. The food is a bit pricey I find and if I were you, I'd go here more for a coffee/chill hangout spot than for dinner. Overall, nice spot for hangouts!",Britney Vu,2026-01-11T10:11:47.260683968Z,3.0,"Quite overpriced when compared to quality. “Cafe” is misleading in their name. It’s more of a breakfast and lunch restaurant.
We went for an Omelette (Tomato, Onion, Feta) and a Pigeon Salad with Falafel. Omelette was good but Feta wasn’t evenly distributed. Salad accompanying the omelette was good. Pigeon salad was good but falafel was a huge let down. A bit hard and didn’t taste fresh. For $6 that they charge for falafel alone, I would expect much much better.
Staff was nice but the service was way too slow. It’s in downtown, so parking can always be a challenge.
Not trying it again.",Jay Mehta,2025-11-17T13:40:30.442769183Z,4.0,"Cozy place with a welcoming atmosphere and excellent service. The coffee and pastries are high quality and beautifully presented. We tried the Matzo Ball Soup—great flavor, though it could benefit from a few smaller matzo balls instead of one very large one, allowing more room for the broth.

The only downside was the music being a bit too loud, which made conversation difficult at times. Still, the staff was patient and attentive throughout.",Alejandro de Morales y Loaiza,2025-12-15T02:20:59.851869663Z
ChIJ52IvzwgbyUwRtCoDAfHiZFk,Sushiyo,sushi_restaurant,"666 Sherbrooke St W Étage 0, Montreal, QC H3A 1E7, Canada",45.5049396,-73.57299259999999,4.8,351.0,340.1,5.0,"Great place for inexpensive delicious food. I had the beef bibimbap and my husband had the Maki combo. We both enjoyed our meals. Service was friendly and welcoming. Not much ambiance, it's like a cafeteria, lol, but we didn't care because we were too busy enjoying the food. Haha.",Jennifer V-P,2025-07-27T01:36:02.101764192Z,2.0,"We ordered 2 Philadelphia with others....didnt get  , get something with surimi. Almost whole set from surimi...we should get around 20 rolls with salmon , get only 8...thats why 2 stars.",Chakir Maniau,2025-09-03T21:06:51.372985276Z,5.0,"A super friendly restaurant specializing in Korean cuisine and sushi. I ordered the sweet potato noodles with beef, which came with a delightful hot miso soup. The stir-fried noodles were packed with generous portions of vegetables. Relaxing jazz music, and nice warm heating in the winter.",Judy Hung,2025-02-07T21:09:05.558471Z,1.0,"Sashimi doesn’t look like nice sashimi cuts. It’s not even a uniform size and it’s not very tempting to try. Just because of the cut and size and the texture of the tuna and salmon. I put it in my mouth and its disgusting taste and texture! See it in the photo for yourself. I paid it $27 for this. Totally not worth it.(I correct: 25$!)
I asked for takeout , and a lady brought me the box of sushi with chopsticks and soy sauce without any box or paper bag to carry in. I had to go and ask for one. Otherwise, I have to carry my sushi in one hand and my sauce and chopsticks in the other. I don’t think the 4.8 they have is a very recent rating of them.",Negar Rahele Safe,2025-04-25T17:25:40.443246Z,4.0,"The sushi here is good and justifies the solid review acore on Google Maps which is what led me here. However, the huge amount of plastic containers, condiments and trays, as well as lack of character,vibe and aesthetics unfortunately are a letdown on what could be a cozy chilled out sushi joint.
The sushi portions were good in comparison to other places in the city with a small, focused menu. Pretty tasty and fresh tasting sushi for a quick lunch on the go.
The staff are super friendly and kind, really nice people.
Support local businesses!",Ads,2021-11-23T13:34:22.196867Z
ChIJ8ZmlOEcayUwReuKvKTRhcNc,Gert's Bar,bar,"3480 Rue McTavish, Montréal, QC H3A 1X9, Canada",45.5036082,-73.5781314,4.2,97.0,104.6,1.0,"This is a shady establishment. They didn't ask for a coat check before we entered, and after we'd been drinking for almost two hours, they just grabbed our clothes and ran off. They confiscated our clothes, laptop, and backpack. They even rudely accused us of deliberately hiding our clothes and said we'd sneaked in. I believe that if you had told us your rules when we entered, we would have followed them, instead of being falsely accused for no reason.",Blanche Sunnay,2026-01-23T18:39:47.095065368Z,1.0,"Most chaotic entrance policy.
If the coat check policy is there you have to be clear at the beginning.
No one mentioned anything when we first entered, but after 2 hours inside someone just came and grabbed all of our stuff and said we are hiding them! At the end we have to pay a ransom to get them back :(",K,2026-01-23T15:00:14.779550474Z,3.0,"I think it had a good variety of things, convenient that it’s on campus. The vibe is nice and I like their commitment to sustainability. Unfortunately for over 3$ you can buy this tiny chocolatine that you eat in two bites. Not worth it. Would rather go to a bakery. Prices are the same as a regular cafe",Zihan Cai,2023-12-07T19:00:32.268457Z,1.0,The line is terribly long and you have to do the line for coat check even though You dont have a coat? This makes no sense do not come here,Domenico Piazza,2026-01-30T01:34:00.312920584Z,4.0,"Amazing place, we love it but the glasses are a little dirty.",Gabrielle,2025-11-14T02:11:37.758896566Z
ChIJB7RPHwAbyUwR1KLtUc557ss,Shawarmania Cuisine Mediterraneenne,restaurant,"896 Rue Sherbrooke O, Montréal, QC H3A 1G3, Canada",45.5033547,-73.5748496,4.8,672.0,217.5,2.0,"Below-average shawarma, honestly one of the worst I’ve had in a while. The salad tasted old and wasn’t fresh or enjoyable, and the overall flavour just didn’t hit the mark. I remember this place being much better in the past, which made this visit pretty disappointing. It feels like the quality has slipped, and there’s definitely a lot of room for improvement in both freshness and consistency.",Y M,2025-12-26T04:14:10.459910223Z,5.0,"Food is really good, that saffron rice is to die for!!  I have been for lunch at least 3 times and I always enjoy the food.  It is cute little place that has good amount seating and I like the vibrant colours through the restaurant.  Since it is close to McGill students can get 10% off of your order!! I will be back for sure and please check it out for yourselves, you won’t be disappointed!!",Shannon,2025-08-07T15:51:17.370453193Z,5.0,"Amazing place to grab food after school or during school days. The workers are really caring, welcoming, and always kind, and the service is super fast. The food is delicious, fresh, and very filling. It honestly keeps you full for the entire day. The price-to-quality ratio is amazing for students, and they even offer a student discount, which makes it even better. Great portions, great quality, and a comfortable atmosphere. I always enjoy coming here and would definitely recommend it!",Adira,2026-01-28T20:09:35.552906347Z,5.0,"I love grabbing lunch at Shawarmania—always fresh, flavorful, and satisfying! Last week, we had them cater a work event for 50 people, and they absolutely nailed it. The food was incredible—everyone kept raving about it—and the portions were super generous (we even had leftovers at the office!).

From the ordering process to delivery, Nabil (the owner) made everything so smooth and easy. He was professional, friendly, and right on time. Honestly, one of the best catering experiences we’ve had.

Sharing a few pics so you can see the spread—we’ll definitely be ordering again!

Note: they accommodated all of our dietary restrictions which was a HUGE plus! (Our restrictions for reference were vegan, vegetarian, gluten free, halal, seafood allergy, peanut allergy)",Gloria Munezero,2025-06-05T17:38:39.578307Z,4.0,Very good and fast. Staff was extremely friendly and helpful. Open late. Recommended for quick delicious food.,James Keeler,2025-08-24T22:12:48.224690007Z
