restaurant_name,review_count,google_avg_rating,custom_sentiment_score,vader_sentiment_score,custom_vs_google_diff,vader_vs_google_diff,custom_vs_vader_diff
Pigeon Café & Bar,5,3,4.15,4.29,1.15,1.29,-0.14
Tim Hortons,5,1,2.12,2.1,1.12,1.1,0.02
Le Taj,5,3.8,4.82,4.74,1.02,0.94,0.08
Starbucks Coffee Company,5,3.2,4.18,3.89,0.98,0.69,0.29
Pizzeria Bros (Downtown),5,3.6,4.57,4.67,0.97,1.07,-0.1
Reuben's Restaurant Delicatessen,5,3.8,4.65,4.79,0.85,0.99,-0.14
Petit Opus Café-Bar,5,4,4.83,4.84,0.83,0.84,-0.01
Shawarmania Cuisine Mediterraneenne,5,4.2,4.92,4.91,0.72,0.71,0.01
Cafétéria La Mosaïque 墨客轩,5,4,4.72,4.44,0.72,0.44,0.28
Sushiyo,5,3.4,4.09,4.09,0.69,0.69,0
Starbucks,5,3.4,4.06,4.13,0.66,0.73,-0.07
Starbucks,5,2,2.64,2.57,0.64,0.57,0.07
Cultures,5,2.4,2.98,2.82,0.58,0.42,0.16
Café Humble Lion (Sherbrooke),5,4.4,4.95,4.96,0.55,0.56,-0.01
Café Et Compagnies,5,4.2,4.74,4.76,0.54,0.56,-0.02
Subway,5,2.6,3.13,3.12,0.53,0.52,0.01
Spirulina,5,4.4,4.91,4.91,0.51,0.51,0
Cafe le 9e,5,4.4,4.91,4.92,0.51,0.52,-0.01
Tunnel Espresso Indigo,5,4,4.5,4.51,0.5,0.51,-0.01
McDonald's,5,2.8,3.3,3.31,0.5,0.51,-0.01
Ambrose Café,5,3.8,4.29,4.32,0.49,0.52,-0.03
Flâneur Bar Lounge,5,4.4,4.85,4.88,0.45,0.48,-0.03
Café Noya - First Udon Café in Montreal,5,4.4,4.82,4.84,0.42,0.44,-0.02
PGSS Inc. Thomson House,5,3.2,3.58,3.59,0.38,0.39,-0.01
Opiano,5,4.4,4.77,4.75,0.37,0.35,0.02
Café Humble Lion (McGill College),5,4.6,4.93,4.91,0.33,0.31,0.02
Sushi Sama,5,4.6,4.91,4.9,0.31,0.3,0.01
Cuisine Arya (Authentic South Indian),5,4.6,4.91,4.85,0.31,0.25,0.06
Le Boulevardier Restaurant,5,4.6,4.91,4.92,0.31,0.32,-0.01
